,년,정점,번호,등급
568,2015,울산연안,3,2
569,2015,울산연안,4,4
570,2015,울산연안,5,2
571,2015,울산연안,6,3
572,2015,울산연안,7,3
573,2015,울산연안,8,3
574,2015,울산연안,9,2
575,2015,울산연안,10,1
576,2015,울산연안,11,2
577,2015,울산연안,12,2
578,2015,온산연안,1,1
579,2015,온산연안,2,1
580,2015,온산연안,3,3
581,2015,온산연안,4,2
582,2015,온산연안,5,1
583,2015,온산연안,6,2
584,2015,온산연안,7,2
585,2015,온산연안,8,2
586,2015,온산연안,9,2
587,2015,부산연안,1,1
588,2015,부산연안,2,1
589,2015,부산연안,3,1
590,2015,부산연안,4,2
591,2015,부산연안,5,1
592,2015,부산연안,6,2
593,2015,부산연안,7,1
594,2015,부산연안,8,1
595,2015,부산연안,9,1
596,2015,부산연안,10,1
597,2015,부산연안,11,1
598,2015,부산연안,12,1
599,2015,부산연안,13,1
600,2015,부산연안,14,2
601,2015,부산연안,15,2
602,2015,부산연안,16,2
603,2015,부산연안,17,1
604,2015,낙동강하구,1,3
605,2015,낙동강하구,2,3
606,2015,낙동강하구,3,3
607,2015,낙동강하구,4,2
608,2015,신항연안,1,3
609,2015,신항연안,2,2
610,2015,행 암 만,1,1
611,2015,행 암 만,2,2
612,2015,행 암 만,3,3
613,2015,행 암 만,4,3
614,2015,마 산 만,1,3
615,2015,마 산 만,2,3
616,2015,마 산 만,3,4
617,2015,마 산 만,4,5
618,2015,마 산 만,5,3
619,2015,마 산 만,6,1
620,2015,마 산 만,7,1
621,2015,마 산 만,8,2
622,2015,마 산 만,9,4
623,2015,마 산 만,10,3
624,2015,마 산 만,11,3
625,2015,마 산 만,12,4
626,2015,마 산 만,13,4
627,2015,마 산 만,14,3
628,2015,마 산 만,15,5
629,2015,진 해 만,1,2
630,2015,진 해 만,2,1
631,2015,광 양 만,1,2
632,2015,광 양 만,2,2
633,2015,광 양 만,3,2
634,2015,광 양 만,4,2
635,2015,광 양 만,5,3
636,2015,광 양 만,6,2
637,2015,광 양 만,7,2
638,2015,광 양 만,8,2
639,2015,광 양 만,9,2
640,2015,광 양 만,10,3
641,2015,광 양 만,11,2
642,2015,광 양 만,12,2
643,2016,울산연안,1,3
644,2016,울산연안,2,2
645,2016,울산연안,3,1
646,2016,울산연안,4,4
647,2016,울산연안,5,2
648,2016,울산연안,6,3
649,2016,울산연안,7,3
650,2016,울산연안,8,3
651,2016,울산연안,9,1
652,2016,울산연안,10,1
653,2016,울산연안,11,2
654,2016,울산연안,12,2
655,2016,온산연안,1,2
656,2016,온산연안,2,1
657,2016,온산연안,3,3
658,2016,온산연안,4,2
659,2016,온산연안,5,2
660,2016,온산연안,6,1
661,2016,온산연안,7,1
662,2016,온산연안,8,1
663,2016,온산연안,9,1
664,2016,부산연안,1,1
665,2016,부산연안,2,1
666,2016,부산연안,3,2
667,2016,부산연안,4,1
668,2016,부산연안,5,1
669,2016,부산연안,6,1
670,2016,부산연안,7,2
671,2016,부산연안,8,1
672,2016,부산연안,9,1
673,2016,부산연안,10,1
674,2016,부산연안,11,1
675,2016,부산연안,12,1
676,2016,부산연안,13,2
677,2016,부산연안,14,3
678,2016,부산연안,15,2
679,2016,부산연안,16,1
680,2016,부산연안,17,1
681,2016,낙동강하구,1,1
682,2016,낙동강하구,2,2
683,2016,낙동강하구,3,2
684,2016,낙동강하구,4,2
685,2016,신항연안,1,2
686,2016,신항연안,2,2
687,2016,행 암 만,1,1
688,2016,행 암 만,2,1
689,2016,행 암 만,3,3
690,2016,행 암 만,4,3
691,2016,마 산 만,1,2
692,2016,마 산 만,2,2
693,2016,마 산 만,3,2
694,2016,마 산 만,4,3
695,2016,마 산 만,5,3
696,2016,마 산 만,6,1
697,2016,마 산 만,7,1
698,2016,마 산 만,8,1
699,2016,마 산 만,9,4
700,2016,마 산 만,10,2
701,2016,마 산 만,11,2
702,2016,마 산 만,12,3
703,2016,마 산 만,13,3
704,2016,마 산 만,14,3
705,2016,마 산 만,15,4
706,2016,진 해 만,1,2
707,2016,진 해 만,2,1
708,2016,광 양 만,1,2
709,2016,광 양 만,2,2
710,2016,광 양 만,3,2
711,2016,광 양 만,4,2
712,2016,광 양 만,5,1
713,2016,광 양 만,6,1
714,2016,광 양 만,7,2
715,2016,광 양 만,8,1
716,2016,광 양 만,9,2
717,2016,광 양 만,10,2
718,2016,광 양 만,11,2
719,2016,광 양 만,12,1
720,2017,울산연안,1,3
721,2017,울산연안,2,2
722,2017,울산연안,3,1
723,2017,울산연안,4,2
724,2017,울산연안,5,1
725,2017,울산연안,6,1
726,2017,울산연안,7,1
727,2017,울산연안,8,3
728,2017,울산연안,9,2
729,2017,울산연안,10,2
730,2017,울산연안,11,1
731,2017,울산연안,12,2
732,2017,온산연안,1,1
733,2017,온산연안,2,1
734,2017,온산연안,3,3
735,2017,온산연안,4,1
736,2017,온산연안,5,1
737,2017,온산연안,6,2
738,2017,온산연안,7,2
739,2017,온산연안,8,2
740,2017,온산연안,9,2
741,2017,부산연안,1,1
742,2017,부산연안,2,1
743,2017,부산연안,3,1
